"","strain","motif_len","pheno","n","metric"
"196","BXD061","4",1.02097902097902,143,"delta (RU) expan"
"197","BXD062","4",1.02020202020202,99,"delta (RU) expan"
"198","BXD063","4",1.02586206896552,116,"delta (RU) expan"
"199","BXD064","4",1.04098360655738,122,"delta (RU) expan"
"200","BXD065","4",1.00813008130081,123,"delta (RU) expan"
"201","BXD065a","4",1.03007518796992,133,"delta (RU) expan"
"202","BXD065b","4",1.0241935483871,124,"delta (RU) expan"
"203","BXD066","4",1.07216494845361,97,"delta (RU) expan"
"204","BXD067","4",1.01098901098901,91,"delta (RU) expan"
"205","BXD068","4",1.00877192982456,114,"delta (RU) expan"
"206","BXD069","4",1.04255319148936,141,"delta (RU) expan"
"207","BXD070","4",1.02777777777778,108,"delta (RU) expan"
"208","BXD071","4",1.04587155963303,109,"delta (RU) expan"
"209","BXD073","4",1.03614457831325,83,"delta (RU) expan"
"210","BXD073a","4",1.01834862385321,109,"delta (RU) expan"
"211","BXD073b","4",1.0253164556962,79,"delta (RU) expan"
"212","BXD074","4",1.01694915254237,59,"delta (RU) expan"
"213","BXD075","4",1.01626016260163,123,"delta (RU) expan"
"214","BXD077","4",1.015625,128,"delta (RU) expan"
"215","BXD078","4",1.04571428571429,175,"delta (RU) expan"
"216","BXD079","4",1.05405405405405,74,"delta (RU) expan"
"217","BXD081","4",1.03030303030303,99,"delta (RU) expan"
"218","BXD083","4",1.01960784313725,153,"delta (RU) expan"
"219","BXD084","4",1.03937007874016,127,"delta (RU) expan"
"220","BXD085","4",1.01785714285714,112,"delta (RU) expan"
"221","BXD086","4",1.03030303030303,132,"delta (RU) expan"
"222","BXD087","4",1.03448275862069,116,"delta (RU) expan"
"223","BXD088","4",1.02777777777778,108,"delta (RU) expan"
"224","BXD089","4",1.03636363636364,110,"delta (RU) expan"
"225","BXD090","4",1.04032258064516,124,"delta (RU) expan"
"226","BXD091","4",1.0859375,128,"delta (RU) expan"
"227","BXD095","4",1.04081632653061,98,"delta (RU) expan"
"228","BXD098","4",1.06849315068493,146,"delta (RU) expan"
"229","BXD099","4",1.03883495145631,103,"delta (RU) expan"
"230","BXD100","4",1.02631578947368,152,"delta (RU) expan"
"231","BXD101","4",1.01041666666667,96,"delta (RU) expan"
"232","BXD102","4",1.04255319148936,141,"delta (RU) expan"
"233","BXD111","4",1,60,"delta (RU) expan"
"234","BXD113","4",1,53,"delta (RU) expan"
"235","BXD114","4",1,43,"delta (RU) expan"
"236","BXD122","4",1,54,"delta (RU) expan"
"237","BXD123","4",1,36,"delta (RU) expan"
"238","BXD124","4",1,41,"delta (RU) expan"
"239","BXD125","4",1.0188679245283,53,"delta (RU) expan"
"240","BXD127","4",1.03508771929825,57,"delta (RU) expan"
"241","BXD128","4",1,45,"delta (RU) expan"
"242","BXD131","4",1.07547169811321,53,"delta (RU) expan"
"243","BXD137","4",1.04838709677419,62,"delta (RU) expan"
"244","BXD141","4",1.02564102564103,39,"delta (RU) expan"
"245","BXD144","4",1,44,"delta (RU) expan"
"246","BXD147","4",1,38,"delta (RU) expan"
"247","BXD148","4",1.02173913043478,46,"delta (RU) expan"
"248","BXD149","4",1,48,"delta (RU) expan"
"249","BXD150","4",1.025,40,"delta (RU) expan"
"250","BXD151","4",1.02040816326531,49,"delta (RU) expan"
"251","BXD152","4",1.02325581395349,43,"delta (RU) expan"
"252","BXD154","4",1,49,"delta (RU) expan"
"253","BXD155","4",1.02564102564103,39,"delta (RU) expan"
"254","BXD156","4",1.05454545454545,55,"delta (RU) expan"
"255","BXD157","4",1,44,"delta (RU) expan"
"256","BXD160","4",1.05263157894737,76,"delta (RU) expan"
"257","BXD161","4",1,56,"delta (RU) expan"
"258","BXD162","4",1.03846153846154,52,"delta (RU) expan"
"259","BXD168","4",1,74,"delta (RU) expan"
"260","BXD169","4",1.0625,64,"delta (RU) expan"
